,text,movie_url,user_name,user_id,tweet_url,tweet_id,base_tweet_id,tweet_type,fav,rt,link,img_url
1,一晩で8発ものｾｲ●をそそがれる絶倫寝取り性ｺ●映像 https://t.co/VxwCYg59Hc,jhEPxf62puOEje7i.mp4,black_rose591,てつろう,https://twitter.com/black_rose591/status/1680397658991763456,1680397658991763456,1680397658991763456,parent,53,12,,
0,"詳細はこちら
https://t.co/OmDhq2uiIa",jhEPxf62puOEje7i.mp4,black_rose591,てつろう,https://twitter.com/black_rose591/status/1680397660904394753,1680397660904394753,1680397658991763456,child,3,0,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Fdetail%2F%3D%2Fcid%3Dipx00652%2F%3Fi3_ref%3Dsearch%26i3_ord%3D17%2F&af_id=eromovie2021-027&ch=link_tool&ch_id=link,
3,オフパコ大好きな欲求不満レイヤー https://t.co/vwuP2hTcd6,q_jqcDJVU9MreA5G.mp4,black_rose591,てつろう,https://twitter.com/black_rose591/status/1680458048098435073,1680458048098435073,1680458048098435073,parent,32,9,,
2,"詳細はこちら
https://t.co/wrGC9z3DQM",q_jqcDJVU9MreA5G.mp4,black_rose591,てつろう,https://twitter.com/black_rose591/status/1680458049860018176,1680458049860018176,1680458048098435073,child,1,0,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Fdetail%2F%3D%2Fcid%3D1sdmua00041%2F%3Fdmmref%3Dkeyword_4031%26i3_ref%3Dlist%26i3_ord%3D13%2F&af_id=eromovie2021-027&ch=link_tool&ch_id=link,
5,輪●された水泳部顧問Jカップ女教師 https://t.co/hWZOIkb3Cl,Jo6GPpDCzRw_jgxA.mp4,black_rose591,てつろう,https://twitter.com/black_rose591/status/1680503373051854848,1680503373051854848,1680503373051854848,parent,54,17,,
4,"詳細はこちら
https://t.co/wSZkfC1wgo",Jo6GPpDCzRw_jgxA.mp4,black_rose591,てつろう,https://twitter.com/black_rose591/status/1680503374947713030,1680503374947713030,1680503373051854848,child,2,1,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Fdetail%2F%3D%2Fcid%3Dssni00752%2F%3Fdmmref%3Ddigiprice1-head%2F&af_id=eromovie2021-027&ch=link_tool&ch_id=link,
7,噂のリンパマッサージ店の裏オプション https://t.co/NpNHNxKE6a,JB7-uLCrvp6tWFre.m3u8,black_rose591,てつろう,https://twitter.com/black_rose591/status/1680533552683974656,1680533552683974656,1680533552683974656,parent,61,16,,
6,"詳細はこちら
https://t.co/OJ46IzdBIR",JB7-uLCrvp6tWFre.m3u8,black_rose591,てつろう,https://twitter.com/black_rose591/status/1680533555146006528,1680533555146006528,1680533552683974656,child,2,0,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Fdetail%2F%3D%2Fcid%3D125umd00824%2F%3Fi3_ref%3Dsearch%26i3_ord%3D8%2F&af_id=eromovie2021-027&ch=link_tool&ch_id=link,
9,こんな爆乳に挟まれたい... https://t.co/LZOn4xASmA,lWZYiZPkjwICNrdp.mp4,black_rose591,てつろう,https://twitter.com/black_rose591/status/1680548664845168640,1680548664845168640,1680548664845168640,parent,36,8,,
8,"詳細はこちら
https://t.co/MtYnrCD15x",lWZYiZPkjwICNrdp.mp4,black_rose591,てつろう,https://twitter.com/black_rose591/status/1680548666954887168,1680548666954887168,1680548664845168640,child,1,0,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Fdetail%2F%3D%2Fcid%3Dssis00253%2F%3Fdmmref%3Dsale_sp_floor_videoa%26i3_ref%3Drecommend%26i3_ord%3D2%2F&af_id=eromovie2021-027&ch=link_tool&ch_id=link,
